UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,M10001,M,300.8,309.1,1770,34.3,3,0,0,0,0,0,0
2,L50001,L,300.8,309.1,1849,29.3,5,0,0,0,0,0,0
3,H70001,H,300.8,309.2,1640,42.5,10,0,0,0,0,0,0
4,M10002,M,300.8,309.2,1744,46.8,13,0,0,0,0,0,0
5,L50002,L,300.8,309.2,1754,41.9,15,0,0,0,0,0,0
6,H70002,H,300.8,309.2,1705,41.5,20,0,0,0,0,0,0
7,M10003,M,300.8,309.2,1637,56.0,23,1,0,0,1,0,0
8,M10004,M,300.8,309.2,1592,40.9,26,0,0,0,0,0,0
9,L50003,L,300.8,309.2,1839,35.3,28,0,0,0,0,0,0
10,L50004,L,300.8,309.1,1687,28.7,30,0,0,0,0,0,0
11,L50005,L,300.7,309.1,1634,52.7,32,1,0,0,1,0,0
12,H70003,H,300.7,309.1,1733,35.7,37,0,0,0,0,0,0
13,M10005,M,300.7,309.1,1544,36.7,40,0,0,0,0,0,0
14,H70004,H,300.7,309.1,1591,50.5,45,0,0,0,0,0,0
15,L50006,L,300.7,309.1,1561,60.5,47,1,0,0,1,0,0
16,L50007,L,300.8,309.2,1627,42.5,49,0,0,0,0,0,0
17,M10006,M,300.8,309.1,1654,38.6,52,0,0,0,0,0,0
18,L50008,L,300.8,309.2,1785,39.9,54,0,0,0,0,0,0
19,H70005,H,300.8,309.2,1599,35.4,59,0,0,0,0,0,0
20,M10007,M,300.8,309.2,1554,36.4,62,0,0,0,0,0,0
21,M10008,M,300.8,309.2,1615,36.5,65,0,0,0,0,0,0
22,L50009,L,300.8,309.2,1670,49.1,67,0,0,0,0,0,0
23,H70006,H,300.9,309.2,1730,39.1,72,0,0,0,0,0,0
24,H70007,H,300.8,309.2,1634,53.6,77,1,0,0,1,0,0
25,M10009,M,300.7,309.1,1738,38.8,80,0,0,0,0,0,0
26,L50010,L,300.7,309.1,1692,36.3,82,0,0,0,0,0,0
27,L50011,L,300.7,309.1,1537,52.8,84,0,0,0,0,0,0
28,L50012,L,300.8,309.1,1564,40.2,86,0,0,0,0,0,0
29,L50013,L,300.8,309.1,1543,38.7,88,0,0,0,0,0,0
